series,sewer,episode,result
1,Ann,1,NA
1,Ann,2,NA
1,Ann,3,Garment of the week
1,Ann,4,Winner
1,Jane,1,Withdraw
1,Jane,2,NA
1,Jane,3,NA
1,Jane,4,NA
1,Lauren,1,NA
1,Lauren,2,NA
1,Lauren,3,NA
1,Lauren,4,Runner-up
1,Mark,1,Garment of the week
1,Mark,2,Eliminated
1,Mark,3,NA
1,Mark,4,NA
1,Michelle,1,Eliminated
1,Michelle,2,NA
1,Michelle,3,NA
1,Michelle,4,NA
1,Sandra,1,NA
1,Sandra,2,NA
1,Sandra,3,NA
1,Sandra,4,Runner-up
1,Stuart,1,NA
1,Stuart,2,Garment of the week
1,Stuart,3,Eliminated
1,Stuart,4,NA
1,Tilly,1,NA
1,Tilly,2,Eliminated
1,Tilly,3,NA
1,Tilly,4,NA
2,Cerina,1,NA
2,Cerina,2,NA
2,Cerina,3,NA
2,Cerina,4,Eliminated
2,Cerina,5,NA
2,Cerina,6,NA
2,Cerina,7,NA
2,Cerina,8,NA
2,Chinelo,1,NA
2,Chinelo,2,NA
2,Chinelo,3,Garment of the week
2,Chinelo,4,NA
2,Chinelo,5,NA
2,Chinelo,6,NA
2,Chinelo,7,NA
2,Chinelo,8,Runner-up
2,Cliff,1,Withdraw
2,Cliff,2,NA
2,Cliff,3,NA
2,Cliff,4,NA
2,Cliff,5,NA
2,Cliff,6,NA
2,Cliff,7,NA
2,Cliff,8,NA
2,David,1,NA
2,David,2,NA
2,David,3,NA
2,David,4,NA
2,David,5,NA
2,David,6,Eliminated
2,David,7,NA
2,David,8,NA
2,Heather,1,NA
2,Heather,2,NA
2,Heather,3,NA
2,Heather,4,NA
2,Heather,5,NA
2,Heather,6,NA
2,Heather,7,NA
2,Heather,8,Winner
2,Jenni,1,NA
2,Jenni,2,NA
2,Jenni,3,NA
2,Jenni,4,NA
2,Jenni,5,Eliminated
2,Jenni,6,NA
2,Jenni,7,NA
2,Jenni,8,NA
2,Julie,1,Garment of the week
2,Julie,2,NA
2,Julie,3,Eliminated
2,Julie,4,NA
2,Julie,5,NA
2,Julie,6,NA
2,Julie,7,NA
2,Julie,8,NA
2,Lynda,1,NA
2,Lynda,2,Garment of the week
2,Lynda,3,NA
2,Lynda,4,Garment of the week
2,Lynda,5,NA
2,Lynda,6,Garment of the week
2,Lynda,7,Eliminated
2,Lynda,8,NA
2,Simon,1,NA
2,Simon,2,Eliminated
2,Simon,3,NA
2,Simon,4,NA
2,Simon,5,NA
2,Simon,6,NA
2,Simon,7,NA
2,Simon,8,NA
2,Tamara,1,NA
2,Tamara,2,NA
2,Tamara,3,NA
2,Tamara,4,NA
2,Tamara,5,Garment of the week
2,Tamara,6,NA
2,Tamara,7,Garment of the week
2,Tamara,8,Runner-up
3,Alex,1,NA
3,Alex,2,Eliminated
3,Alex,3,NA
3,Alex,4,NA
3,Alex,5,NA
3,Alex,6,NA
3,Amanda,1,NA
3,Amanda,2,NA
3,Amanda,3,NA
3,Amanda,4,Eliminated
3,Amanda,5,NA
3,Amanda,6,NA
3,Annie,1,Eliminated
3,Annie,2,NA
3,Annie,3,NA
3,Annie,4,NA
3,Annie,5,NA
3,Annie,6,NA
3,Deborah,1,NA
3,Deborah,2,NA
3,Deborah,3,NA
3,Deborah,4,NA
3,Deborah,5,Eliminated
