series,episode,sewer,pattern_rank,transformation_name,transformation_rank,made_to_measure_name,garmet_of_week_win
1,1,Ann,3,—,NA,Crepe wool shift dress,0
1,1,Jane,4,—,NA,—,0
1,1,Lauren,2,—,NA,—,0
1,1,Mark,7,V-neck,NA,Cotton colour block shift dress,0
1,1,Michelle,5,Square Neckline with lace panel insertion,NA,Reversible silk wrap dress,0
1,1,Sandra,1,Facing scallop neckline,NA,Tailored denim shirt dress,0
1,1,Stuart,8,—,NA,Empire-line dress with pleated skirt,0
1,1,Tilly,6,—,NA,Scalloped neck dress,0
1,2,Ann,1,Diagonal checked square pockets,NA,Fine silk cerise blouse,0
1,2,Lauren,2,Gathered floral pockets,NA,Silk peplum blouse,0
1,2,Mark,6,Skull print pockets (angled),NA,18th century chemise,0
1,2,Sandra,4,Square polka dot pockets with folded corner,NA,Frilly chiffon blouse,0
1,2,Stuart,5,"Semi circle red ""tulip"" pockets",NA,Raw silk chinese blouse,0
1,2,Tilly,3,Semi circle polka dot pockets,NA,Shift blouse with red piping,0
1,3,Ann,2,Fitted/tailored dress,NA,Buclé tweed edge to edge jacket,0
1,3,Lauren,1,Dress with pleated skirt and orange belt,NA,Fitted tweed hacking jacket,0
1,3,Sandra,3,Fitted dress with red piping,NA,Softly tailored wrap collar jacket,0
1,3,Stuart,4,Side rippled dress,NA,Boiled wool alpine jacket,0
1,4,Ann,1,Freeform couching,NA,Lace and taffeta cocktail dress,0
1,4,Lauren,3,Sequin Zigzags,NA,Sequin gown with asymmetric satin bodice,0
1,4,Sandra,2,Applique Petals,NA,Teal satin gown with plunging back,0
2,1,Cerina,2,Short Skirt with small bottom Frill,6,1930's Style Bias Cut Nightgown,0
2,1,Chinelo,7,Fitted Peplum Skirt,2,Floor Length Nightgown,0
2,1,Cliff,10,Short Skirt with 2 Godets,10,Withdrew,0
2,1,David,8,Short Skirt with 2 Godets,9,Semi-Fitted Empire-Line Nightgown,0
2,1,Heather,1,Short Skirt with back Box Pleat,7,Lingerie Nightgown,0
2,1,Jenni,4,Dungarees,5,1940's Style Floor Length Nightgown,0
2,1,Julie,5,Short Skirt with a Godet and Pocket,8,Bias Cut Nightgown,0
2,1,Lynda,6,Short Skirt with a Godet and Pocket,4,Empire-Line Nightgown,0
2,1,Simon,9,Short Skirt with jetted Pocket and Godet,3,Shot Silk Dupion Nightdress,0
2,1,Tamara,3,Short Skirt with Gathered Ruffle,1,Empire-Line Babydoll Nightgown,0
2,2,Cerina,3,Little girl's sailor dress,3,Cotton Lawn Pyjamas,0
2,2,Chinelo,4,Button-down Boob Tube,2,Striped Pull-on Pyjamas,0
2,2,David,6,Skirt,7,"Brushed Cotton, Checked Pyjamas",0
2,2,Heather,1,Women's Shirt with ruffle frill,8,Striped Pyjamas,0
2,2,Jenni,7,Skirt,5,Classic Pyjamas,0
2,2,Julie,9,Women's Shirt,6,Striped Cotton Pyjamas,0
2,2,Lynda,5,Little girl's dress,4,Candy Striped Pyjamas,0
2,2,Simon,8,Shirt Dress,9,"Brushed Cotton, Checked Pyjamas",0
2,2,Tamara,2,Skirt,1,Newsprint Pyjamas,0
2,3,Cerina,3,Child's Dancing Leotard,1,Simple Wrap Dress,0
2,3,Chinelo,5,Asymmetric Maxi Dress,2,Stretch Velvet Dress,0
2,3,David,2,Zip V-neck Top,8,Faux Wrap Dress,0
