series,sewer,episode,result
1,Ann,1,NA
1,Lauren,1,NA
1,Sandra,1,NA
1,Stuart,1,NA
1,Tilly,1,NA
1,Mark,1,NA
1,Michelle,1,Eliminated
1,Jane,1,Withdraw
1,Ann,2,NA
1,Lauren,2,NA
1,Sandra,2,NA
1,Stuart,2,NA
1,Tilly,2,Eliminated
1,Mark,2,Eliminated
1,Ann,3,NA
1,Lauren,3,NA
1,Sandra,3,NA
1,Stuart,3,Eliminated
1,Ann,4,Winner
1,Lauren,4,Runner-up
1,Sandra,4,Runner-up
2,Heather,1,NA
2,Chinelo,1,NA
2,Tamara,1,NA
2,Lynda,1,NA
2,David,1,NA
2,Jenni,1,NA
2,Cerina,1,NA
2,Julie,1,NA
2,Simon,1,NA
2,Cliff,1,Withdraw
2,Heather,2,NA
2,Chinelo,2,NA
2,Tamara,2,NA
2,Lynda,2,NA
2,David,2,NA
2,Jenni,2,NA
2,Cerina,2,NA
2,Julie,2,NA
2,Simon,2,Eliminated
2,Heather,3,NA
2,Chinelo,3,NA
2,Tamara,3,NA
2,Lynda,3,NA
2,David,3,NA
2,Jenni,3,NA
2,Cerina,3,NA
2,Julie,3,Eliminated
2,Heather,4,NA
2,Chinelo,4,NA
2,Tamara,4,NA
2,Lynda,4,NA
2,David,4,NA
2,Jenni,4,NA
2,Cerina,4,Eliminated
2,Heather,5,NA
2,Chinelo,5,NA
2,Tamara,5,NA
2,Lynda,5,NA
2,David,5,NA
2,Jenni,5,Eliminated
2,Heather,6,NA
2,Chinelo,6,NA
2,Tamara,6,NA
2,Lynda,6,NA
2,David,6,Eliminated
2,Heather,7,NA
2,Chinelo,7,NA
2,Tamara,7,NA
2,Lynda,7,Eliminated
2,Heather,8,Winner
2,Chinelo,8,Runner-up
2,Tamara,8,Runner-up
3,Matt,1,NA
3,Lorna,1,NA
3,Neil,1,NA
3,Deborah,1,NA
3,Paul,1,NA
3,Ryan,1,NA
3,Amanda,1,NA
3,Neela,1,NA
3,Alex,1,NA
3,Annie,1,Eliminated
3,Matt,2,NA
3,Lorna,2,NA
3,Neil,2,NA
3,Deborah,2,NA
3,Paul,2,NA
3,Ryan,2,NA
3,Amanda,2,NA
3,Neela,2,NA
3,Alex,2,Eliminated
3,Matt,3,NA
3,Lorna,3,NA
3,Neil,3,NA
3,Deborah,3,NA
3,Paul,3,NA
3,Ryan,3,NA
3,Amanda,3,NA
3,Neela,3,Eliminated
3,Matt,4,NA
3,Lorna,4,NA
3,Neil,4,NA
3,Deborah,4,NA
3,Paul,4,NA
3,Ryan,4,Eliminated
3,Amanda,4,Eliminated
3,Matt,5,NA
3,Lorna,5,NA
3,Neil,5,NA
3,Deborah,5,Eliminated
3,Paul,5,Eliminated
3,Matt,6,Winner
3,Lorna,6,Runner-up
3,Neil,6,Runner-up
4,Charlotte,1,NA
4,Jade,1,NA
4,Joyce,1,NA
4,Tracey,1,NA
4,Rumana,1,NA
4,Angeline,1,Garment of the week
4,Josh,1,NA
4,Jamie,1,NA
4,Ghislaine,1,NA
4,Duncan,1,Eliminated
4,Charlotte,2,NA
4,Jade,2,NA
4,Joyce,2,NA
4,Tracey,2,NA
4,Rumana,2,NA
4,Angeline,2,Garment of the week
4,Josh,2,NA
4,Jamie,2,NA
4,Ghislaine,2,Eliminated
4,Charlotte,3,Garment of the week
4,Jade,3,NA
4,Joyce,3,NA
4,Tracey,3,NA
4,Rumana,3,NA
4,Angeline,3,NA
4,Josh,3,NA
4,Jamie,3,Eliminated
4,Charlotte,4,NA
4,Jade,4,NA
4,Joyce,4,Garment of the week
4,Tracey,4,NA
4,Rumana,4,NA
4,Angeline,4,NA
4,Josh,4,Eliminated
4,Charlotte,5,NA
4,Jade,5,Garment of the week
4,Joyce,5,NA
4,Tracey,5,NA
4,Rumana,5,NA
4,Angeline,5,Eliminated
4,Charlotte,6,NA
4,Jade,6,Garment of the week
4,Joyce,6,NA
4,Tracey,6,NA
4,Rumana,6,Eliminated
4,Charlotte,7,Garment of the week
4,Jade,7,NA
4,Joyce,7,NA
4,Tracey,7,Eliminated
4,Charlotte,8,Winner
4,Jade,8,Runner-up
4,Joyce,8,Runner-up
5,Juliet,1,Garment of the week
5,Leah,1,NA
5,Riccardo,1,NA
5,Jen,1,NA
5,Janet,1,NA
5,Mercedes,1,NA
5,Alexei,1,NA
5,Ben,1,NA
5,Sheila,1,NA
5,Tom,1,Eliminated
5,Juliet,2,NA
5,Leah,2,Garment of the week
5,Riccardo,2,NA
5,Jen,2,NA
5,Janet,2,NA
5,Mercedes,2,NA
5,Alexei,2,NA
5,Ben,2,NA
5,Sheila,2,Eliminated
5,Juliet,3,NA
5,Leah,3,NA
5,Riccardo,3,NA
5,Jen,3,NA
5,Janet,3,NA
5,Mercedes,3,Garment of the week
5,Alexei,3,NA
5,Ben,3,Eliminated
5,Juliet,4,NA
5,Leah,4,NA
5,Riccardo,4,NA
5,Jen,4,Garment of the week
5,Janet,4,NA
5,Mercedes,4,NA
5,Alexei,4,Eliminated
5,Juliet,5,Garment of the week
5,Leah,5,NA
5,Riccardo,5,NA
5,Jen,5,NA
5,Janet,5,NA
5,Mercedes,5,Eliminated
5,Juliet,6,NA
5,Leah,6,NA
5,Riccardo,6,Garment of the week
5,Jen,6,NA
5,Janet,6,Eliminated
5,Juliet,7,NA
5,Leah,7,NA
5,Riccardo,7,Garment of the week
5,Jen,7,Eliminated
5,Juliet,8,Winner
5,Leah,8,Runner-up
5,Riccardo,8,Runner-up
6,Clare,1,NA
6,Matt,1,Garment of the week
6,Nicole,1,NA
6,Liz,1,NA
6,Mark,1,NA
6,Therese,1,NA
6,Peter,1,NA
6,Ali,1,NA
6,Hazel,1,NA
6,Fiona,1,NA
6,Alex,1,NA
6,Angillia,1,Eliminated
6,Clare,2,NA
6,Matt,2,NA
6,Nicole,2,NA
6,Liz,2,NA
6,Mark,2,Garment of the week
6,Therese,2,NA
6,Peter,2,NA
6,Ali,2,NA
6,Hazel,2,NA
6,Fiona,2,NA
6,Alex,2,Eliminated
6,Clare,3,NA
6,Matt,3,NA
6,Nicole,3,NA
6,Liz,3,NA
6,Mark,3,NA
6,Therese,3,Garment of the week
6,Peter,3,NA
6,Ali,3,NA
